stage,trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
all,69,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.6626064963539813, ""entry_days"": 11.0, ""exit_days"": 2.320044108681118, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",mar,15288307977.800224,1528.8307977800223,200.10062012394803,-99.7381334979267,-66.83256335708106,317.91118870551804,2.0322484374326515,0.990567028626264,41.17647058823529,34,3.1426248521524327,22.875537327688622,3140.896516034449,92.37930929513084,16288.307977800225
all,171,CompositeMomentumIndexStrategy,"{""roc_period"": 12, ""rsi_period"": 18, ""signal_threshold"": 0.31425899706018967, ""tsi_long"": 24, ""tsi_short"": 8}",mar,15211023562.575266,1521.1023562575267,200.10062012394803,-99.7381334979267,-95.7175910098917,316.8937803698907,1.7038249659089966,1.5464262265180757,58.333333333333336,36,3.5513496679916736,15.891565387393964,788.6219124864159,21.906164235733776,16211.023562575268
all,143,CSMARevertStrategy,"{""atr_floor_pct"": 0.8197583452634867, ""atr_mult"": 1.124067724046186, ""atr_period"": 48, ""entry_drop"": 0.1753324560061812, ""exit_up"": 0.45535487826698595, ""n_sma"": 722, ""rsi_max"": 32.0, ""rsi_period"": 14, ""timeframe_minutes"": 5}",mar,14959274701.806557,1495.9274701806555,200.10062012394803,-99.7381334979267,-96.4146946409318,313.5631362139975,1.9271810418049204,1.9108031077823395,57.14285714285714,21,3.5972103423146877,15.515554716548111,1071.96292621994,51.04585362952096,15959.274701806557
all,165,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 37, ""oversold"": 19, ""rsi_period"": 17, ""signal_threshold"": 0.8581876696673227}",mar,14118088838.018583,1411.8088838018589,200.10062012394803,-99.7381334979267,-73.67886748217259,302.24419530946693,2.1929438226560265,0.2090284884463508,58.82352941176471,17,16.839559840862023,19.16165288701623,142.42460192413077,8.377917760242987,15118.088838018586
all,151,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 29, ""signal_threshold"": 0.24476588233672442, ""tsi_long"": 33, ""tsi_short"": 6}",mar,14048409934.591047,1404.8409934591048,200.10062012394803,-99.7381334979267,-95.60344220445788,301.2929881435503,1.6938099091336718,1.390285749981827,50.0,12,10.494513485591323,14.694460377846086,451.2641756304594,37.60534796920495,15048.409934591047
all,63,CSMARevertStrategy,"{""atr_floor_pct"": 0.6982883239888092, ""atr_mult"": 2.0330049888573507, ""atr_period"": 19, ""entry_drop"": 0.7160107321713008, ""exit_up"": 0.5705639961085411, ""n_sma"": 614, ""rsi_max"": 32.0, ""rsi_period"": 9, ""timeframe_minutes"": 5}",mar,14047884735.642502,1404.7884735642504,200.10062012394803,-99.7381334979267,-74.55364484879941,301.2858103549058,1.7988674950987371,0.3604130604492471,100.0,2,inf,18.84265318500887,72.41971117195894,36.20985558597947,15047.884735642505
all,142,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 1, ""atr_mult"": 0.9913646502075844, ""breakout_slope_min"": 0.0010302141172521978, ""breakout_window"": 69, ""buy_spacing_mult_bear"": 1.2, ""center_lookback"": 21, ""cooldown_bars"": 0, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.02, ""min_step_pct"": 0.039134191886270014, ""min_strength"": 0.7309656043955653, ""no_sell_above_ema_fast_in_bull"": 1, ""num_grids"": 14, ""recenter_dwell_bars"": 14, ""recenter_threshold_pct"": 0.24077226253058032, ""sell_spacing_mult_bull"": 1.5585879999210004, ""side_when_bear"": 0, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.005592636679774093, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.010563224274125782, ""tol_buy_lo"": 0.00518939363668678, ""tol_sell_hi"": 0.01, ""tol_sell_lo"": 0.014533688144997907, ""trail_atr_mult"": 1.6481650876912928, ""trend_ema_fast"": 68, ""trend_ema_slow"": 200}",mar,13937180420.673529,1393.7180420673528,200.10062012394803,-99.7381334979267,-97.36249727869084,299.7701007524636,1.942317293835812,1.460684081632896,88.46153846153845,26,45.942971717275874,14.314731863111192,1301.5138382979108,50.05822454991964,14937.180420673529
all,123,CSMARevertStrategy,"{""atr_floor_pct"": 0.6700895924621738, ""atr_mult"": 1.1787362848334024, ""atr_period"": 50, ""entry_drop"": 0.25, ""exit_up"": 0.0727983132490827, ""n_sma"": 549, ""rsi_max"": 17.43287098194248, ""rsi_period"": 14, ""timeframe_minutes"": 5}",mar,13848798876.533327,1384.8798876533328,200.10062012394803,-99.7381334979267,-92.18318994521732,298.5560881826006,1.8495082411480344,0.4050711544742785,88.88888888888889,18,5.229072172314739,15.0231282783373,359.22114062403904,19.956730034668837,14848.798876533328
all,162,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 0, ""atr_mult"": 1.6169211693123442, ""breakout_slope_min"": 0.0012347801174642614, ""breakout_window"": 20, ""buy_spacing_mult_bear"": 1.5849695290658965, ""center_lookback"": 20, ""cooldown_bars"": 3, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.019324224195121212, ""min_step_pct"": 0.03308783792496481, ""min_strength"": 0.7803162130661713, ""no_sell_above_ema_fast_in_bull"": 0, ""num_grids"": 8, ""recenter_dwell_bars"": 8, ""recenter_threshold_pct"": 0.10498515967985278, ""sell_spacing_mult_bull"": 1.3319729697711107, ""side_when_bear"": 0, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.0014208135283159398, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.006855160825337915, ""tol_buy_lo"": 0.015719065944061698, ""tol_sell_hi"": 0.01921790093974493, ""tol_sell_lo"": 0.003040708994341193, ""trail_atr_mult"": 1.9165524691872675, ""trend_ema_fast"": 20, ""trend_ema_slow"": 302}",mar,12693367263.323627,1269.3367263323628,200.10062012394803,-99.7381334979267,-97.19662594215832,282.34835033856774,1.9015279711428368,1.1376342728847786,100.0,20,inf,13.059473145577549,618.8478006362644,30.942390031813225,13693.367263323627
1y,31,CompositeMomentumIndexStrategy,"{""roc_period"": 15, ""rsi_period"": 29, ""signal_threshold"": 0.8686077513582559, ""tsi_long"": 22, ""tsi_short"": 6}",mar,12443822159.506536,1244.3822159506535,-24.21430939037421,-99.7381334979267,-90.90899942035836,1266.7048763609048,2.361420746940962,1.0525180823302145,73.33333333333333,15,7.592308577239907,13.688218150952212,192.94767302508737,12.86317820167249,13443.822159506535
1y,113,CSMARevertStrategy,"{""atr_floor_pct"": 0.3241266588631362, ""atr_mult"": 1.8, ""atr_period"": 30, ""entry_drop"": 0.4699402703142753, ""exit_up"": 0.8134575475341282, ""n_sma"": 383, ""rsi_max"": 36.364999219641334, ""rsi_period"": 14, ""timeframe_minutes"": 5}",mar,12275813970.142086,1227.5813970142087,-24.21430939037421,-99.7381334979267,-94.34450826463826,1249.5175306556955,2.526752129375182,1.4596856776740588,62.5,8,8.208298188023944,13.01168896414,170.52942741123212,21.316178426404015,13275.813970142088
1y,96,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 18, ""signal_threshold"": 0.36371492498121466, ""tsi_long"": 32, ""tsi_short"": 9}",mar,12172545401.67484,1217.2545401674845,-24.21430939037421,-99.7381334979267,-90.90899942035836,1238.9537726847357,2.3028729051795263,1.4275926098912155,60.0,20,4.796940380027243,13.38981341702997,335.31553206673846,16.765776603336924,13172.545401674844
all,52,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 1, ""atr_mult"": 1.0, ""breakout_slope_min"": 0.0027841755521640535, ""breakout_window"": 20, ""buy_spacing_mult_bear"": 1.34785596602553, ""center_lookback"": 20, ""cooldown_bars"": 5, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.023505570280703905, ""min_step_pct"": 0.034501276933752975, ""min_strength"": 0.7491186767889668, ""no_sell_above_ema_fast_in_bull"": 0, ""num_grids"": 7, ""recenter_dwell_bars"": 4, ""recenter_threshold_pct"": 0.2013640055711789, ""sell_spacing_mult_bull"": 1.3, ""side_when_bear"": 0, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.007191152097608226, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.01094630189097125, ""tol_buy_lo"": 0.01, ""tol_sell_hi"": 0.0063920286214578, ""tol_sell_lo"": 0.005237895601565501, ""trail_atr_mult"": 1.302634347412344, ""trend_ema_fast"": 43, ""trend_ema_slow"": 399}",mar,11975952051.792969,1197.595205179297,200.10062012394803,-99.7381334979267,-97.19662594215832,271.94747758400155,1.8882993513762705,1.139047052399631,95.83333333333334,24,79.4179685420692,12.321366030668448,722.2603704383329,30.0941821015972,12975.952051792969
all,16,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 14, ""signal_threshold"": 0.6290525119564564, ""tsi_long"": 33, ""tsi_short"": 17}",mar,11952567669.721909,1195.2567669721907,200.10062012394803,-99.7381334979267,-96.05320387620992,271.6037998854737,1.651624633583644,1.436790642576327,61.76470588235294,34,3.442731161962634,12.443694939240096,819.6117870286379,24.106229030254056,12952.567669721906
1y,91,CompositeMomentumIndexStrategy,"{""roc_period"": 7, ""rsi_period"": 13, ""signal_threshold"": 0.7, ""tsi_long"": 31, ""tsi_short"": 13}",mar,11510535076.17508,1151.053507617508,-24.21430939037421,-99.7381334979267,-95.2175101239177,1171.2467152222148,2.273620719650967,1.648032034058113,55.55555555555556,27,4.263941205687244,12.088674720852362,341.7545417173934,12.65757561916272,12510.53507617508
all,174,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 2.6660620668355746, ""entry_days"": 6.67181110327931, ""exit_days"": 2.0, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.15542433400370936}",mar,11464384426.93941,1146.4384426939412,200.10062012394803,-99.7381334979267,-66.23895876828799,264.35866274808564,1.8327632201154047,0.9602585755752387,45.45454545454545,55,2.3357683685734183,17.30761569946055,3958.144066918363,71.96625576215206,12464.384426939412
1y,165,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 62, ""oversold"": 30, ""rsi_period"": 47, ""signal_threshold"": 0.19039360875659528}",mar,11385009935.752964,1138.5009935752964,-24.21430939037421,-99.7381334979267,-33.77419972915773,1158.4111657067813,3.894961994481105,0.6081583167343384,100.0,6,inf,33.70919230374578,85.22761684513358,14.204602807522264,12385.009935752963
